MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,DPM_COM_Z04,Mapping of Type of financial interconnection for the template Z04,E,DPM_COM_Z04,,DPM_COM_Z04,DPM_COM_Z04
ECB,DPM_SEL,Mapping of Governed by law of an EU Member State,E,DPM_SEL,,DPM_SEL,DPM_SEL
ECB,DPM_COM_Z05.01,Mapping of Type of financial interconnection for the template Z05.01,E,DPM_COM_Z05.01,,DPM_COM_Z05.01,DPM_COM_Z05.01
ECB,DPM_BAS_CPS_CPY_CPZ_MCB_MCY_NAT_TMA_TYA_PUR,"Mapping of Base, Main category, Counterparty sector, Counterparty nature, Purpose, Type of activity, Type of market, Nature of activity, Size of the counterparty, Instrument",E,DPM_BAS_CPS_CPY_CPZ_MCB_MCY_NAT_TMA_TYA_PUR,,DPM_BAS_CPS_CPY_CPZ_MCB_MCY_NAT_TMA_TYA_PUR,DPM_BAS_CPS_CPY_CPZ_MCB_MCY_NAT_TMA_TYA_PUR
ECB,DPM_COM_Z05.02,Mapping of Type of financial interconnection for the template Z05.02,E,DPM_COM_Z05.02,,DPM_COM_Z05.02,DPM_COM_Z05.02
ECB,DPM_APL_BAS_CPS_CPY_MCB_MCY_NAT_TMA_TYA,"Mapping of Base, Accounting portfolio, Main category, Counterparty sector, Counterparty nature, Type of activity, Type of market, Nature of activity, Instrument",E,DPM_APL_BAS_CPS_CPY_MCB_MCY_NAT_TMA_TYA,,DPM_APL_BAS_CPS_CPY_MCB_MCY_NAT_TMA_TYA,DPM_APL_BAS_CPS_CPY_MCB_MCY_NAT_TMA_TYA
ECB,DPM_PUR_RES,Mapping of Purpose,E,DPM_PUR_RES,,DPM_PUR_RES,DPM_PUR_RES
ECB,DPM_LCL,Mapping of Location of critical function (IS to LE and CF),E,DPM_LCL,,DPM_LCL,DPM_LCL
ECB,DPM_ATY_RES,DPM_ATY_RES,V,DPM_ATY_RES,,,DPM_ATY_RES
ECB,DPM_bi565,DPM_bi565,A,DPM_bi565,,,DPM_bi565
ECB,DPM_bi571,DPM_bi571,A,DPM_bi571,,,DPM_bi571
ECB,DPM_bi628,DPM_bi628,A,DPM_bi628,,,DPM_bi628
ECB,DPM_bi629,DPM_bi629,A,DPM_bi629,,,DPM_bi629
ECB,DPM_bi630,DPM_bi630,A,DPM_bi630,,,DPM_bi630
ECB,DPM_si585,DPM_si585,A,DPM_si585,,,DPM_si585
ECB,DPM_ii592,DPM_ii592,A,DPM_ii592,,,DPM_ii592
ECB,DPM_ii631,DPM_ii631,A,DPM_ii631,,,DPM_ii631
ECB,DPM_mi184,DPM_mi184,A,DPM_mi184,,,DPM_mi184
ECB,DPM_mi235,DPM_mi235,A,DPM_mi235,,,DPM_mi235
ECB,DPM_mi236,DPM_mi236,A,DPM_mi236,,,DPM_mi236
ECB,DPM_mi237,DPM_mi237,A,DPM_mi237,,,DPM_mi237
ECB,DPM_mi308,DPM_mi308,A,DPM_mi308,,,DPM_mi308
ECB,DPM_mi591,DPM_mi591,A,DPM_mi591,,,DPM_mi591
ECB,DPM_mi76,DPM_mi76,A,DPM_mi76,,,DPM_mi76
ECB,DPM_mi81,DPM_mi81,A,DPM_mi81,,,DPM_mi81
ECB,DPM_pi271,DPM_pi271,A,DPM_pi271,,,DPM_pi271
ECB,DPM_pi317,DPM_pi317,A,DPM_pi317,,,DPM_pi317
ECB,DPM_pi590,DPM_pi590,A,DPM_pi590,,,DPM_pi590
ECB,DPM_si563,DPM_si563,A,DPM_si563,,,DPM_si563
ECB,DPM_si564,DPM_si564,A,DPM_si564,,,DPM_si564
ECB,DPM_si569,DPM_si569,A,DPM_si569,,,DPM_si569
ECB,DPM_si576,DPM_si576,A,DPM_si576,,,DPM_si576
ECB,DPM_si577,DPM_si577,A,DPM_si577,,,DPM_si577
ECB,DPM_si579,DPM_si579,A,DPM_si579,,,DPM_si579
ECB,DPM_si580,DPM_si580,A,DPM_si580,,,DPM_si580
ECB,DPM_si593,DPM_si593,A,DPM_si593,,,DPM_si593
