VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
DPM_RPR_Z02,ECB,DPM_RPR_Z02,Mapping of Related parties/Relationships for the template Z02
DPM_CPS_CPY_CPZ,ECB,DPM_CPS_CPY_CPZ,"Mapping of Counterparty sector, Counterparty nature, Size of the counterparty"
DPM_RES,ECB,DPM_RES,Mapping of Residual maturity
DPM_BAS_MCB_MRE_SEL_MCY,ECB,DPM_BAS_MCB_MRE_SEL_MCY,"Mapping of Base, Main category, Instrument, Governed by law of an EU Member State, Eligibility for MREL"
DPM_CRH,ECB,DPM_CRH,Mapping of Critical function (CF to LE)
DPM_CIG,ECB,DPM_CIG,Mapping of Country of incorporation of guarantor
DPM_COM_Z04,ECB,DPM_COM_Z04,Mapping of Type of financial interconnection for the template Z04
DPM_SEL,ECB,DPM_SEL,Mapping of Governed by law of an EU Member State
DPM_COM_Z05.01,ECB,DPM_COM_Z05.01,Mapping of Type of financial interconnection for the template Z05.01
DPM_BAS_CPS_CPY_CPZ_MCB_MCY_NAT_TMA_TYA_PUR,ECB,DPM_BAS_CPS_CPY_CPZ_MCB_MCY_NAT_TMA_TYA_PUR,"Mapping of Base, Main category, Counterparty sector, Counterparty nature, Purpose, Type of activity, Type of market, Nature of activity, Size of the counterparty, Instrument"
DPM_COM_Z05.02,ECB,DPM_COM_Z05.02,Mapping of Type of financial interconnection for the template Z05.02
DPM_APL_BAS_CPS_CPY_MCB_MCY_NAT_TMA_TYA,ECB,DPM_APL_BAS_CPS_CPY_MCB_MCY_NAT_TMA_TYA,"Mapping of Base, Accounting portfolio, Main category, Counterparty sector, Counterparty nature, Type of activity, Type of market, Nature of activity, Instrument"
DPM_PUR_RES,ECB,DPM_PUR_RES,Mapping of Purpose
DPM_LCL,ECB,DPM_LCL,Mapping of Location of critical function (IS to LE and CF)
DPM_ATY_RES,ECB,DPM_ATY_RES,DPM_ATY_RES
DPM_ObservationValue,ECB,DPM_ObservationValue,DPM_ObservationValue
DPM_IFM,ECB,DPM_IFM,DPM_IFM
DPM_IDU,ECB,DPM_IDU,DPM_IDU
DPM_TSR,ECB,DPM_TSR,DPM_TSR
AMOUNT_CAT,ECB,AMOUNT_CAT,Mapping of Amount category for the template AMOUNTCAT
IR_BUS_COV,ECB,IR_BUS_COV,Mapping of IR business coverage for the template IRBUSCOV
MATURITY_NOT_IRATE,ECB,MATURITY_NOT_IRATE,Mapping of Original maturity/Period of notice/Initial rate fixation for the template MATURITYNOTIRATE
BS_ITEM_DATA_TYPE_MIR,ECB,BS_ITEM_DATA_TYPE_MIR,"Mapping of Balance sheet item, MFI interest rate data type for the template BSITEM"
CSDB_SHORTNAME,ECB,CSDB_SHORTNAME,CSDB_SHORTNAME
CSDB_SENIORITY,ECB,CSDB_SENIORITY,Mapping of Instrument seniority type for the template CSDBSENIORITY
CSDB_PRICEDATE,ECB,CSDB_PRICEDATE,CSDB_PRICEDATE
CSDB_VA_IFLCODE,ECB,CSDB_VA_IFLCODE,CSDB_VA_IFLCODE
CSDB_ISSUEPRICE,ECB,CSDB_ISSUEPRICE,CSDB_ISSUEPRICE
CSDB_VA_FVCCODE,ECB,CSDB_VA_FVCCODE,CSDB_VA_FVCCODE
CSDB_POOLFACTOR,ECB,CSDB_POOLFACTOR,CSDB_POOLFACTOR
CSDB_COUPONRATE,ECB,CSDB_COUPONRATE,CSDB_COUPONRATE
CSDB_SOURCECODE,ECB,CSDB_SOURCECODE,CSDB_SOURCECODE
CSDB_ISSUERNAME,ECB,CSDB_ISSUERNAME,CSDB_ISSUERNAME
CSDB_VA_YTMDATE,ECB,CSDB_VA_YTMDATE,CSDB_VA_YTMDATE
CSDB_COUPONDATE,ECB,CSDB_COUPONDATE,CSDB_COUPONDATE
