CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,2327,1164
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2320,1088
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2319,1100
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2322,1137
F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,2327,1164
F_01_01_REF_FINREP_3_0:LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT:Debt securities:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT:Debt securities,2320,1256
F_01_01_REF_FINREP_3_0:LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT:Debt securities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT:Debt securities,2319,1281
F_01_01_REF_FINREP_3_0:LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT:Debt securities:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_01_REF_FINREP_3_0:LNG_BLNC_SHT_RCGNSD_SCRTY_PSTN_PRDNTL_PRTFL_ACCNTNG_CLSSFCTN_ASSGNMNT:Debt securities,2327,1306
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets,2322,1503
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets,2322,1503
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets Goodwill:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets Goodwill,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets Goodwill:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets Goodwill,2322,1503
